trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.2, 'e': 0.5629999999999954}",20,0,-78.9557581291848,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.2, 'e': 0.5583999999999953}",20,5,-24.706336531475806,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.5537999999999953}",20,9,-24.68532665415009,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.5491999999999952}",20,0,-19.39609769090703,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.2, 'e': 0.5445999999999952}",25,18,13.30437411573498,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.5399999999999952}",25,0,-110.31873250672105,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",1
101,False,"{'a': 0.2, 'e': 0.5353999999999951}",30,15,-16.48805532132783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.2, 'e': 0.530799999999995}",25,0,-56.6578227664963,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.526199999999995}",25,13,-68.3192939389697,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
104,False,"{'a': 0.2, 'e': 0.521599999999995}",30,11,-105.64344523567983,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
105,False,"{'a': 0.2, 'e': 0.5169999999999949}",20,0,-29.219965702174342,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.5123999999999949}",30,1,-29.20033856695073,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.5077999999999948}",35,4,-115.59985779260258,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 2}",1
108,False,"{'a': 0.2, 'e': 0.5031999999999948}",30,0,-28.65035410486488,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.49859999999999477}",20,0,-59.89072005376386,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
110,False,"{'a': 0.2, 'e': 0.4939999999999948}",20,7,-77.25070532754353,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 1}",1
111,False,"{'a': 0.2, 'e': 0.4893999999999948}",20,0,-27.384191437382565,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
112,False,"{'a': 0.2, 'e': 0.4847999999999948}",20,7,-63.527038093787695,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.4801999999999948}",30,17,-89.5709096663196,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 2}",1
114,False,"{'a': 0.2, 'e': 0.4755999999999948}",25,11,-36.95162556698939,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.4709999999999948}",30,0,-65.50531236949172,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.2, 'e': 0.4663999999999948}",25,3,-2.7898604534208102,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.4617999999999948}",35,21,8.731135236300883,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.45719999999999483}",25,0,-41.315957957251214,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.45259999999999484}",20,1,-14.705070656218588,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.44799999999999485}",25,12,8.147247196647825,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.44339999999999485}",20,4,-34.08862823901541,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.2, 'e': 0.43879999999999486}",30,16,10.07736628440142,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.43419999999999487}",30,8,3.680386674209857,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.4295999999999949}",25,8,-51.93237562983412,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.2, 'e': 0.4249999999999949}",35,20,-24.488959906376582,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.2, 'e': 0.4203999999999949}",25,8,-71.05868772473636,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
127,False,"{'a': 0.2, 'e': 0.4157999999999949}",30,7,6.406581842702522,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.4111999999999949}",30,8,4.833698662229395,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.4065999999999949}",25,2,15.65621830096818,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.4019999999999949}",30,24,12.941002006228922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.3973999999999949}",20,0,-40.946862477862595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.2, 'e': 0.39279999999999493}",20,4,26.813180019870384,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.38819999999999494}",20,11,-22.133176234792508,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.38359999999999495}",25,0,5.194317377182863,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.37899999999999495}",30,16,-47.598789120691706,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
136,False,"{'a': 0.2, 'e': 0.37439999999999496}",25,10,-4.824215355601832,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.36979999999999497}",20,4,-12.679784009343162,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.365199999999995}",30,17,-2.151878207376928,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.360599999999995}",20,0,-4.447866431641118,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.2, 'e': 0.355999999999995}",20,13,11.732475730097205,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
